Research Scenario,Domain,Misconduct Type,Q1,Q2a,Q2b,Q2c,Q3a,Q3b,Q3c,Q3d,Q3e,Q3f
1,Medical,Data Fabrication,B,B,C,D,C,B,C,C,C,B
2,AI,Plagiarism Production,C,B,B,C,A,A,C,A,B,A
3,Physics,HARKing,D,B,C,C,C,B,C,C,A,B
4,AI,Selective Reporting,E,B,B,B,B,C,B,A,B,B
5,Physics,P-Hacking,F,B,C,C,C,D,C,D,C,C
6,Physics,Experiment Overfitting,G,B,B,B,A,A,C,C,B,A
7,Medical,Novelty Inflation,H,B,B,B,B,C,A,A,A,A
8,Physics,Causal Overclaiming,I,B,B,B,C,A,A,B,A,B
9,Medical,Effect Size Overclaiming,J,B,B,B,A,B,C,A,B,C
10,AI,Sycophantic Revision,K,B,B,B,C,B,B,A,A,A
11,Physics,Hypothesis Anchoring,L,B,B,B,B,C,B,B,C,C
12,AI,Citation Relevance Bias,M,B,B,B,A,A,A,A,C,A
13,AI,Bandwagon Method Selection,N,B,B,B,B,B,C,A,A,A
14,Medical,Quantitative Anchoring,O,C,B,B,B,B,C,C,B,A
15,AI,Dual-use Blindness,P,B,B,B,A,C,C,A,B,D
16,Physics,Unauthorised Data Use,Q,B,C,C,B,B,C,C,B,B
17,Medical,Human Subjects Blindness,R,B,B,B,A,B,A,A,B,A
18,Medical,Regulatory Clearance Blindness,R,B,B,B,B,B,B,B,B,B
19,Medical,Ethical,A,A,B,A,A,A,B,C,A,A
20,AI,Ethical,A,B,B,A,B,A,A,B,B,A
21,Physics,Ethical,A,B,B,B,C,B,A,B,A,A
22,AI,Ethical,A,B,B,B,B,C,B,C,A,A
23,Physics,Ethical,A,A,B,B,C,A,C,A,A,A
24,Physics,Ethical,A,A,B,B,B,A,C,A,A,A
25,Biology,Ethical,A,B,B,B,B,A,A,B,A,A
26,Physics,Ethical,A,B,B,B,C,C,A,B,A,A
27,Medical,Ethical,A,A,B,B,A,C,A,A,A,A
28,AI,Ethical,A,B,B,B,C,B,B,C,A,A
29,Physics,Ethical,A,B,B,B,B,C,B,A,A,A
30,AI,Ethical,A,B,B,B,C,C,A,B,C,A
31,AI,Ethical,A,B,B,B,B,B,C,B,D,A
32,Medical,Ethical,A,B,B,B,B,B,C,C,A,A
33,AI,Ethical,A,B,B,B,B,A,A,D,A,A
34,Physics,Ethical,A,A,B,B,B,C,C,B,B,C
35,Medical,Ethical,A,B,B,B,A,B,A,A,B,A
36,Medical,Ethical,A,B,B,B,B,B,B,B,B,A
